Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Aadorf;8355;0;Aadorf;TG;2710589;1261647
Aarau;5004;0;Aarau;AG;2646950;1250196
Aarau;5000;0;Aarau;AG;2645857;1249629
Aarau Rohr;5032;0;Aarau;AG;2648652;1250616
Aarberg;3270;0;Aarberg;BE;2588144;1210525
Aarburg;4663;0;Aarburg;AG;2635426;1241611
Aarwangen;4912;0;Aarwangen;BE;2624590;1232267
Aathal-Seegräben;8607;0;Seegräben;ZH;2700585;1244029
Aawangen;8522;2;Aadorf;TG;2710207;1263564
Abländschen;1657;0;Saanen;BE;2588821;1158428
Abtwil AG;5646;0;Abtwil;AG;2669676;1225112
Abtwil SG;9030;0;Gaiserwald;SG;2742026;1254523
Achseten;3725;0;Frutigen;BE;2612259;1152869
Aclens;1123;0;Aclens;VD;2528791;1157797
Acquarossa;6716;0;Acquarossa;TI;2715114;1146054
Adelboden;3715;0;Adelboden;BE;2609226;1149073
Adetswil;8345;0;Bäretswil;ZH;2705932;1244241
Adligenswil;6043;0;Adligenswil;LU;2670369;1213699
Adlikon b. Andelfingen;8452;0;Adlikon;ZH;2694409;1270773
Adlikon b. Regensdorf;8106;2;Regensdorf;ZH;2677295;1256008
Adliswil;8134;0;Adliswil;ZH;2681612;1240612
Aedermannsdorf;4714;0;Aedermannsdorf;SO;2612829;1239205
Aefligen;3426;0;Aefligen;BE;2608587;1216084
Aegerten;2558;0;Aegerten;BE;2588846;1218917
Aesch (Neftenbach);8412;0;Neftenbach;ZH;2693367;1266653
Aesch BL;4147;0;Aesch (BL);BL;2611242;1258173
Aesch LU;6287;0;Aesch (LU);LU;2660592;1234064
Aesch ZH;8904;0;Aesch (ZH);ZH;2675274;1243353
Aeschau;3536;0;Eggiwil;BE;2624975;1195360
Aeschi SO;4556;0;Aeschi (SO);SO;2617223;1225346
Aeschi b. Spiez;3703;0;Aeschi bei Spiez;BE;2619500;1167424
Aeschiried;3703;41;Aeschi bei Spiez;BE;2621966;1166040
Aeschlen b. Oberdiessbach;3672;2;Oberdiessbach;BE;2615855;1187398
Aeschlen ob Gunten;3656;1;Sigriswil;BE;2619758;1174445
Aetigkofen;4583;2;Buchegg;SO;2602128;1219137
Aetingen;4587;0;Buchegg;SO;2605244;1220111
Aettenschwil;5645;0;Sins;AG;2670516;1226332
Aeugst am Albis;8914;0;Aeugst am Albis;ZH;2679663;1235689
Aeugstertal;8914;2;Aeugst am Albis;ZH;2679815;1237410
Affeltrangen;9556;0;Affeltrangen;TG;2720155;1265442
Affoltern am Albis;8910;0;Affoltern am Albis;ZH;2676401;1237300
Affoltern im Emmental;3416;0;Affoltern im Emmental;BE;2622327;1212876
Agarn;3951;0;Agarn;VS;2617908;1127061
Agarone;6597;0;Cugnasco-Gerra;TI;2713420;1115327
Agasul;8308;2;Illnau-Effretikon;ZH;2698162;1253444
Agiez;1352;0;Agiez;VD;2528756;1174540
Agno;6982;0;Agno;TI;2713361;1094791
Agra;6927;0;Collina d'Oro;TI;2714146;1091788
Agriswil;3216;2;Ried bei Kerzers;FR;2581619;1200376
Aigle;1860;0;Aigle;VD;2563719;1129651
Aire-la-Ville;1288;0;Aire-la-Ville;GE;2492286;1116445
Airolo;6780;0;Airolo;TI;2689808;1153758
Alberswil;6248;0;Alberswil;LU;2642366;1222223
Albeuve;1669;0;Haut-Intyamon;FR;2570634;1151805
Albinen;3955;0;Albinen;VS;2615293;1132275
Albligen;3183;0;Schwarzenburg;BE;2590637;1188901
Alchenflüh;3422;2;Rüdtligen-Alchenflüh;BE;2610538;1214550
Alchenstorf;3473;0;Alchenstorf;BE;2615228;1219502
Aldesago;6974;0;Lugano;TI;2719302;1096412
Algetshausen;9249;0;Uzwil;SG;2725748;1256335
Alikon;5643;2;Sins;AG;2670055;1228020
Allaman;1165;0;Allaman;VD;2519867;1147146
Alle;2942;0;Alle;JU;2576618;1252986
Allens;1304;3;Cossonay;VD;2528831;1161406
Allenwinden;6319;0;Baar;ZG;2684339;1224328
Allerheiligenberg;4615;0;Hägendorf;SO;2628428;1244699
Allmendingen b. Bern;3112;0;Allmendingen;BE;2606322;1196174
Allschwil;4123;0;Allschwil;BL;2607303;1266660
Almens;7416;0;Almens;GR;2754407;1178306
Alosen;6315;2;Oberägeri;ZG;2691060;1222007
Alp Grüm;7710;2;Poschiavo;GR;2799570;1139232
Alpnach Dorf;6055;0;Alpnach;OW;2662895;1198960
Alpnachstad;6053;0;Alpnach;OW;2663850;1200535
Alpthal;8849;0;Alpthal;SZ;2697032;1214090
Alt St. Johann;9656;0;Wildhaus-Alt St. Johann;SG;2739598;1228556
Altbüron;6147;0;Altbüron;LU;2633983;1226061
Altdorf SH;8243;0;Thayngen;SH;2691608;1293211
Altdorf UR;6460;0;Altdorf (UR);UR;2691110;1193200
Alten;8453;0;Kleinandelfingen;ZH;2690909;1272782
Altendorf;8852;0;Altendorf;SZ;2705506;1227714
Altenrhein;9423;0;Thal;SG;2759206;1262158
Alterswil FR;1715;0;Alterswil;FR;2586935;1182691
Alterswilen;8573;2;Kemmental;TG;2728826;1274812
Altikon;8479;0;Altikon;ZH;2701260;1270261
Altishausen;8573;3;Kemmental;TG;2730228;1273488
Altishofen;6246;0;Altishofen;LU;2639817;1228192
Altnau;8595;0;Altnau;TG;2736770;1274623
Altstätten SG;9450;0;Altstätten;SG;2758789;1249593
Altwis;6286;0;Altwis;LU;2661269;1232264
Alvaneu Bad;7473;0;Alvaneu;GR;2768669;1170871
Alvaneu Dorf;7492;0;Alvaneu;GR;2768893;1172396
Alvaschein;7451;0;Alvaschein;GR;2761780;1171515
Am Bach (Avers);7447;1;Avers;GR;2761890;1146737
Ambrì;6775;0;Quinto;TI;2696667;1151631
Amden;8873;0;Amden;SG;2729399;1223607
Aminona;3963;4;Mollens (VS);VS;2607057;1131290
Amlikon-Bissegg;8514;0;Amlikon-Bissegg;TG;2721147;1269598
Ammerswil AG;5600;3;Ammerswil;AG;2658067;1246654
Ammerzwil BE;3257;1;Grossaffoltern;BE;2592483;1213224
Amriswil;8580;0;Amriswil;TG;2739929;1267685
Amsoldingen;3633;0;Amsoldingen;BE;2610743;1175114
Amsteg;6474;0;Silenen;UR;2694091;1181108
Andeer;7440;0;Andeer;GR;2752165;1163082
Andelfingen;8450;0;Andelfingen;ZH;2693252;1272313
Andermatt;6490;0;Andermatt;UR;2688730;1165164
Andhausen;8572;2;Berg (TG);TG;2730958;1271101
Andiast;7159;0;Andiast;GR;2728164;1182888
Andwil SG;9204;0;Andwil (SG);SG;2738803;1255940
Andwil TG;8586;2;Birwinken;TG;2733512;1269786
Anglikon;5611;0;Wohlen (AG);AG;2661956;1246382
Anières;1247;0;Anières;GE;2506291;1125705
Anwil;4469;0;Anwil;BL;2638149;1255650
Anzonico;6748;0;Faido;TI;2709456;1143244
Anzère;1972;0;Ayent;VS;2596986;1127483
Appenzell;9050;0;Appenzell;AI;2748475;1243834
Appenzell Eggerstanden;9050;2;Rüte;AI;2753420;1244341
Appenzell Enggenhütten;9050;3;Schlatt-Haslen;AI;2745331;1246470
Appenzell Meistersrüte;9050;5;Appenzell;AI;2750650;1245665
Appenzell Schlatt;9050;7;Schlatt-Haslen;AI;2747898;1246887
Appenzell Steinegg;9050;6;Rüte;AI;2751030;1243216
Apples;1143;0;Apples;VD;2522542;1156163
Aproz (Nendaz);1994;2;Nendaz;VS;2590281;1117165
Aquila;6719;0;Blenio;TI;2715931;1164358
Aquila;6719;0;Blenio;TI;2715890;1151395
Aquila;6719;0;Blenio;TI;2716904;1157670
Aran;1091;1;Bourg-en-Lavaux;VD;2544090;1149893
Aranno;6994;0;Aranno;TI;2711089;1097277
Arbaz;1974;0;Arbaz;VS;2595756;1124654
Arbedo;6517;0;Arbedo-Castione;TI;2724070;1119307
Arboldswil;4424;0;Arboldswil;BL;2621128;1251794
Arbon;9320;0;Arbon;TG;2750505;1264637
Arcegno;6618;0;Losone;TI;2700723;1113160
Arcegno;6618;0;Ronco sopra Ascona;TI;2700914;1112203
Arch;3296;0;Arch;BE;2599157;1223655
Arconciel;1732;0;Arconciel;FR;2575883;1177346
Ardez;7546;0;Ardez;GR;2811011;1184191
Ardon;1957;0;Ardon;VS;2585639;1117682
Areuse;2015;0;Boudry;NE;2555709;1200456
Arezen;7104;3;Safiental;GR;2744758;1182985
Argnou (Ayent);1966;10;Ayent;VS;2597000;1123573
Arisdorf;4422;0;Arisdorf;BL;2624930;1262706
Aristau;5628;0;Aristau;AG;2670310;1237917
Arlesheim;4144;0;Arlesheim;BL;2614177;1260497
Arnegg;9212;0;Gossau (SG);SG;2736983;1256492
Arnex-sur-Nyon;1277;1;Arnex-sur-Nyon;VD;2504044;1136759
Arnex-sur-Orbe;1321;0;Arnex-sur-Orbe;VD;2529672;1171749
Arni AG;8905;3;Arni (AG);AG;2674548;1241283
Arni BE;3508;0;Arni (BE);BE;2617472;1198361
Arogno;6822;0;Arogno;TI;2720016;1091083
Arolla;1986;0;Evolène;VS;2603452;1097032
Arosa;7050;0;Arosa;GR;2770549;1183389
Arosio;6939;2;Alto Malcantone;TI;2713151;1100655
Arth;6415;0;Arth;SZ;2682383;1213076
Arveyes;1884;2;Ollon;VD;2571014;1126448
Arvigo;6543;0;Arvigo;GR;2729022;1129247
Arvillard (Salins);1991;2;Sion;VS;2592844;1117731
Arzier;1273;0;Arzier-Le Muids;VD;2505414;1146209
Arzo;6864;0;Mendrisio;TI;2716669;1081616
Ascharina;7245;0;St. Antönien;GR;2780251;1203448
Ascona;6612;0;Ascona;TI;2702812;1112455
Asp;5025;0;Densbüren;AG;2646243;1254967
Assens;1042;0;Assens;VD;2537490;1162693
Astano;6999;0;Astano;TI;2706773;1096739
Asuel;2954;0;La Baroche;JU;2582684;1250007
Athenaz (Avusy);1285;0;Avusy;GE;2489424;1112478
Attalens;1616;0;Attalens;FR;2554762;1151230
Attelwil;5056;0;Attelwil;AG;2645870;1234768
Attikon;8544;0;Wiesendangen;ZH;2702234;1265793
Attinghausen;6468;0;Attinghausen;UR;2690376;1191109
Attiswil;4536;0;Attiswil;BE;2613438;1233298
Au SG;9434;0;Au (SG);SG;2765585;1255940
Au TG;8376;2;Fischingen;TG;2714173;1250742
Au ZH;8804;0;Wädenswil;ZH;2691435;1233719
Aubonne;1170;0;Aubonne;VD;2519662;1150026
Auboranges;1673;3;Auboranges;FR;2551487;1159243
Auddes-sur-Riddes;1914;2;Riddes;VS;2584782;1111420
Auenstein;5105;0;Auenstein;AG;2653315;1252281
Augio;6547;0;Rossa;GR;2729724;1136317
Augst BL;4302;0;Augst;BL;2621187;1264676
Aumont;1484;0;Les Montets;FR;2554959;1183506
Auressio;6661;2;Isorno;TI;2696160;1117444
Aurigeno;6677;1;Maggia;TI;2698281;1120721
Auslikon;8331;0;Pfäffikon;ZH;2703391;1244751
Ausserberg;3938;0;Ausserberg;VS;2631620;1129287
Ausserbinn;3995;2;Ernen;VS;2654698;1137106
Ausserferrera;7444;0;Ferrera;GR;2753581;1158186
Auswil;4944;0;Auswil;BE;2629894;1220483
Autafond;1782;2;Autafond;FR;2572466;1184781
Autavaux;1475;0;Vernay;FR;2557213;1190606
Autigny;1742;0;Autigny;FR;2568047;1176230
Auvernier;2012;0;Milvignes;NE;2557284;1203121
Auw;5644;0;Auw;AG;2670406;1229413
Avegno;6670;0;Avegno Gordevio;TI;2700892;1118054
Aven;1976;1;Conthey;VS;2586895;1120564
Avenches;1580;0;Avenches;VD;2569659;1192202
Avry-devant-Pont;1644;0;Pont-en-Ogoz;FR;2573054;1170726
Avry-sur-Matran;1754;4;Avry;FR;2571902;1181919
Avully;1237;0;Avully;GE;2488890;1114131
Axalp;3855;1;Brienz (BE);BE;2645845;1174645
Ayer;3961;24;Anniviers;VS;2612893;1114321
Azmoos;9478;0;Wartau;SG;2754901;1216545
Aïre;1219;10;Vernier;GE;2496546;1117382
Baar;6340;0;Baar;ZG;2681767;1227840
Baar (Nendaz);1996;5;Nendaz;VS;2591429;1117107
Bachenbülach;8184;0;Bachenbülach;ZH;2683012;1261758
Bachs;8164;0;Bachs;ZH;2675419;1264368
Bad Ragaz;7310;0;Bad Ragaz;SG;2757242;1207751
Bad Ragaz;7310;0;Pfäfers;SG;2755849;1204686
Bad Zurzach;5330;0;Bad Zurzach;AG;2664447;1270505
Baden;5404;0;Baden;AG;2663319;1256307
Baden;5400;0;Baden;AG;2664855;1258734
Baldegg;6283;0;Hochdorf;LU;2664049;1226082
Baldingen;5333;0;Baldingen;AG;2665985;1267707
Balerna;6828;0;Balerna;TI;2721716;1078528
Balgach;9436;0;Balgach;SG;2763593;1252988
Ballaigues;1338;0;Ballaigues;VD;2521736;1175850
Ballens;1144;0;Ballens;VD;2518363;1156489
Ballmoos;3303;4;Jegenstorf;BE;2602829;1209939
Ballwil;6275;0;Ballwil;LU;2666896;1222744
Balm b. Günsberg;4525;0;Balm bei Günsberg;SO;2608738;1233625
Balm b. Messen;3254;2;Messen;SO;2599695;1216906
Balmberg;4524;2;Balm bei Günsberg;SO;2608558;1235460
Balsthal;4710;0;Balsthal;SO;2619627;1240149
Balterswil;8362;0;Bichelsee-Balterswil;TG;2713210;1257248
Baltschieder;3937;0;Baltschieder;VS;2634045;1136158
Baltschieder;3937;0;Baltschieder;VS;2632409;1128444
Balzers;9496;0;;;2756904;1214618
Banco;6981;16;Bedigliora;TI;2708573;1096410
Bangerten b. Dieterswil;3256;2;Bangerten;BE;2600685;1211745
Bannwil;4913;0;Bannwil;BE;2622058;1231872
Barbengo;6917;0;Lugano;TI;2714341;1090843
Barberêche;1783;4;Barberêche;FR;2578849;1189541
Bargen BE;3282;0;Bargen (BE);BE;2586219;1209918
Bargen SH;8233;0;Bargen (SH);SH;2687791;1294140
Barmelweid;5017;0;Erlinsbach (AG);AG;2640092;1252474
Barzheim;8241;0;Thayngen;SH;2696158;1290797
Basadingen;8254;0;Basadingen-Schlattingen;TG;2697989;1280923
